,Measure,OneShiningSoul,chord_note,Time,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
93,47,Bbmin7,Bb,93.0,138.88319396972656,562.6381225585938,406.0326843261719,1011.6340942382812,268.5226745605469,335.42889404296875,227.30052185058594,1199.4881591796875,272.1287841796875,132.13992309570312,581.0232543945312,168.3791046142578
94,48,D#7,D#,94.0,399.1515197753906,155.3802032470703,106.45187377929688,434.4241027832031,156.10682678222656,68.8086929321289,66.19364929199219,365.6595458984375,342.9163818359375,83.32941436767578,76.02022552490234,111.42438507080078
95,48,G#maj7,G#,95.0,256.8257751464844,464.1238708496094,226.3703155517578,500.8143310546875,971.9951782226562,287.05267333984375,103.8328857421875,125.72662353515625,430.2560729980469,94.78756713867188,101.68370819091797,518.498291015625
96,49,C#min7,C#,96.0,588.5352783203125,195.0670928955078,208.91685485839844,1081.854736328125,855.7664184570312,442.2139892578125,104.6744384765625,127.55792999267578,211.503173828125,647.6111450195312,899.7924194335938,276.7522888183594
97,49,F7,F,97.0,293.7769470214844,621.9451293945312,173.4937286376953,441.2430419921875,821.8932495117188,416.4994812011719,412.7014465332031,122.82181549072266,244.8899383544922,507.2834167480469,132.67431640625,115.59253692626953
98,50,F#min7,F#,98.0,151.9928741455078,212.0196990966797,233.6295928955078,1069.2178955078125,363.8046875,298.30029296875,1312.787109375,442.2583312988281,275.656982421875,505.0388488769531,260.2274169921875,545.8180541992188
99,50,B7,B,99.0,147.3870849609375,103.7142105102539,250.59178161621094,1018.3594360351562,517.2781982421875,314.1826477050781,1236.1519775390625,407.1094055175781,588.301513671875,532.1406860351562,235.3201904296875,588.9338989257812
100,51,Emaj9,E,100.0,336.17169189453125,665.296142578125,359.2127990722656,585.9353637695312,908.2308959960938,474.9256591796875,803.1067504882812,648.0155639648438,363.2401123046875,613.4541625976562,306.7615966796875,1084.2720947265625
101,51,Dmaj13,D,101.0,261.076904296875,538.7615356445312,134.12913513183594,274.3529052734375,981.7670288085938,281.46185302734375,137.70335388183594,142.9198760986328,438.7828369140625,106.70049285888672,110.72412872314453,554.9757080078125
102,52,C#min7,C#,102.0,603.7199096679688,215.7205352783203,88.62049102783203,231.9753875732422,1076.9686279296875,212.29811096191406,127.02462768554688,462.4996032714844,118.65326690673828,59.513179779052734,99.04794311523438,560.5560913085938
103,52,Cmaj7,C,103.0,589.267822265625,145.41726684570312,67.53595733642578,214.1034698486328,938.5308227539062,509.0950927734375,136.64134216308594,157.51449584960938,222.04603576660156,525.646484375,126.54991912841797,168.7018585205078
104,53,Fmaj7,F,104.0,284.0231628417969,637.2273559570312,144.21778869628906,209.3988494873047,763.6275024414062,411.4463806152344,403.7878112792969,125.19286346435547,235.599609375,503.2486267089844,128.62330627441406,68.2931137084961
105,53,F#min7,F#,105.0,661.5470581054688,342.0221862792969,749.5224609375,344.4654235839844,998.365478515625,222.6038818359375,166.2705535888672,452.0179748535156,119.44015502929688,90.62515258789062,115.51856231689453,611.3663940429688
106,54,Cmaj9,C,106.0,272.0319519042969,653.6617431640625,373.1180419921875,1069.209228515625,393.7420654296875,315.3200988769531,1058.6654052734375,267.72210693359375,122.30807495117188,453.9537048339844,198.99749755859375,483.888916015625
107,54,B9,B,107.0,200.36378479003906,102.3493423461914,103.66985321044922,543.7272338867188,992.7427368164062,222.1904754638672,195.2058563232422,139.24452209472656,437.2358093261719,107.70145416259766,176.81805419921875,911.303955078125
108,55,Emaj7,E,108.0,641.802978515625,235.31646728515625,710.2562866210938,378.341064453125,1059.6993408203125,216.992919921875,127.49292755126953,443.7835388183594,127.39476776123047,79.12887573242188,116.37630462646484,671.0211791992188
109,55,Cmaj9,C,109.0,506.6161193847656,135.72201538085938,101.34423828125,209.2913055419922,846.2881469726562,169.53782653808594,116.65982818603516,550.4730224609375,266.9362487792969,513.2472534179688,130.74008178710938,194.5361328125
110,56,Amin7,A,110.0,264.2291259765625,155.2660369873047,352.49169921875,197.64271545410156,204.70855712890625,319.7817687988281,1318.6019287109375,748.82373046875,139.2126922607422,99.50360870361328,159.22750854492188,640.1449584960938
111,56,Gmaj7,G,111.0,160.48773193359375,615.368408203125,194.80091857910156,266.29150390625,1072.0948486328125,583.6399536132812,726.9099731445312,192.89149475097656,140.1351776123047,219.12611389160156,574.11669921875,225.46730041503906
112,57,F#7,F#,112.0,202.67674255371094,612.6657104492188,291.5862121582031,1058.3887939453125,367.5248107910156,305.6234436035156,1252.30322265625,242.8934783935547,120.37459564208984,461.1075439453125,242.5193328857422,567.4758911132812
113,57,B9,B,113.0,151.3537139892578,153.11520385742188,277.4901428222656,1013.8118286132812,507.3897705078125,306.9900207519531,1216.4293212890625,403.401611328125,517.179443359375,166.1827850341797,195.41380310058594,571.6826782226562
114,58,Emaj9,E,114.0,213.70652770996094,738.5087280273438,358.9880676269531,1221.026611328125,335.2345886230469,297.7214050292969,1270.7801513671875,258.3523254394531,124.9492416381836,460.7348937988281,219.9776153564453,529.9082641601562
115,58,B9,B,115.0,182.17567443847656,89.28048706054688,125.41472625732422,578.4125366210938,1082.9456787109375,228.6819305419922,205.2245635986328,154.1238555908203,470.9169006347656,111.85848236083984,175.87217712402344,921.6353149414062
116,59,Emaj7,E,116.0,95.83846282958984,62.7877197265625,76.85443115234375,344.7577209472656,639.5415649414062,150.1765594482422,171.61781311035156,472.6662292480469,3293.126220703125,530.6726684570312,83.01115417480469,342.364501953125
117,60,Gbmaj,Gb,118.0,258.9642639160156,585.8109741210938,151.02645874023438,102.0913314819336,254.87841796875,1143.4302978515625,345.7018737792969,100.00817108154297,405.3555908203125,102.50485229492188,121.50415802001953,517.6199340820312
118,60,Db7,Db,119.0,182.1588134765625,517.7971801757812,384.341796875,440.2055969238281,313.5792236328125,1001.048583984375,335.7810974121094,703.4542846679688,1548.2738037109375,437.2137145996094,588.8573608398438,193.37657165527344
119,61,D#9,D#,120.0,519.363525390625,219.9803924560547,276.0000915527344,943.2586059570312,306.186767578125,471.5657653808594,1084.4605712890625,428.4174499511719,620.3848266601562,144.57936096191406,89.82415771484375,157.6562957763672
120,61,G#7,G#,121.0,325.0379943847656,950.4970092773438,227.2094268798828,350.0002746582031,273.4770812988281,1063.177001953125,822.5746459960938,190.46388244628906,207.94573974609375,226.2931365966797,581.609130859375,172.77369689941406
121,62,Gbmaj7,Gb,122.0,270.6259460449219,533.5188598632812,128.70094299316406,107.30704498291016,277.07440185546875,1250.0120849609375,304.2326354980469,95.7332992553711,414.4129943847656,106.09920501708984,114.44893646240234,500.923583984375
122,62,Db7,Db,123.0,199.2454071044922,526.8369140625,389.0538330078125,493.2716369628906,321.5072326660156,999.986083984375,383.0429382324219,720.2089233398438,1550.705078125,445.9405517578125,611.0888061523438,181.58558654785156
